Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-01-02,16.2684,16.2684,16.1572,16.1758,149897.4823563
2014-01-03,16.1289,16.1289,16.0179,16.0734,96925.9448364
2014-01-07,16.1758,16.1758,15.6649,15.7945,220865.3328515
2014-01-08,15.7117,15.8228,15.3489,15.7117,211098.48447492
2014-01-09,15.8033,15.8033,15.6083,15.6551,87237.042535283
2014-01-10,15.4601,15.6181,15.3392,15.6181,241829.75033188
2014-01-13,15.702,16.166,15.5899,15.6181,172942.85493024
2014-01-14,15.6649,15.9331,15.5616,15.7857,74103.128820016
2014-01-15,15.7857,16.3991,15.7857,16.1289,315765.70533215
2014-01-16,16.362,16.5942,16.1758,16.4078,381541.93695912
2014-01-17,16.5376,16.5571,15.9983,16.0461,211487.18924597
2014-01-20,16.0363,16.3163,16.0081,16.0461,178607.27828254
2014-01-21,16.2684,16.8076,16.0832,16.7335,387292.51123692
2014-01-22,16.7423,16.9022,16.6877,16.7335,379155.35120123
2014-01-23,16.7335,17.0875,16.7062,17.0124,341288.94262078
2014-01-24,17.0689,17.106,16.9656,17.0592,189114.614376
2014-01-27,17.0124,17.1138,16.3163,17.0494,262535.71503573
2014-01-28,17.0592,17.0962,16.789,16.8739,131803.73678666
2014-01-29,16.9188,17.0494,16.8739,17.0494,76151.264513393
2014-01-30,17.0494,17.0494,16.7335,16.9383,97287.983844795
2014-01-31,16.9383,17.0592,16.91,17.0494,70810.932738023
2014-02-03,17.0494,17.1888,16.8271,16.9188,171889.55730526
2014-02-04,16.7335,16.9568,16.5473,16.8446,52805.389306412
2014-02-05,16.8446,16.8446,16.7335,16.7716,87178.582978687
2014-02-06,16.7423,17.106,16.4274,16.5942,237464.77010603
2014-02-07,16.6877,16.7335,16.5376,16.6779,110725.47701186
2014-02-10,16.7335,16.9938,16.5942,16.6496,115107.89254406
2014-02-11,16.8173,16.8173,16.6029,16.6877,80373.685469645
2014-02-12,16.7238,16.7335,15.6181,16.4078,285911.33282414
2014-02-13,16.3893,16.4078,15.8033,16.3805,281218.15859635
2014-02-14,16.4547,16.5473,16.1289,16.4176,75997.423574982
2014-02-17,16.5014,16.5376,16.1758,16.1758,77023.029831055
2014-02-18,16.1758,16.4274,15.8969,16.4176,198593.26739463
2014-02-19,16.5112,16.5473,16.3163,16.4176,90733.334262234
2014-02-20,16.362,16.362,15.9906,16.2597,77271.226545025
2014-02-21,16.2597,16.2597,15.9906,16.0363,116476.05128966
2014-02-24,16.0276,16.1289,15.9525,16.0832,93230.685495771
2014-02-25,16.0832,16.0832,15.8969,15.9068,88015.477683641
2014-02-26,15.8969,15.9613,15.4318,15.6181,245379.37358414
2014-02-27,15.5255,16.0363,15.4045,15.5343,599891.45766447
2014-02-28,15.544,16.2684,15.544,16.2684,161603.75216311
2014-03-03,15.8033,15.8033,14.2238,15.2924,955037.36641105
2014-03-04,15.2466,15.9428,15.2466,15.8969,187016.22397608
2014-03-05,15.9428,16.2227,15.6181,15.6649,185819.34147524
2014-03-06,15.7117,16.1572,15.702,15.813,169747.06583632
2014-03-07,15.9906,16.1475,15.7565,15.7565,140103.96821706
2014-03-10,15.7565,16.0081,15.5996,15.7565,226062.07975102
2014-03-11,15.7565,15.8033,15.5527,15.5713,35600.844360794
2014-03-12,13.3033,14.3719,13.1532,13.944,2505349.936728
2014-03-13,13.944,14.0843,12.7368,13.0147,893114.33748815
2014-03-14,12.7915,12.8198,12.0485,12.0485,1181644.0430841
2014-03-17,12.0856,14.1868,12.0856,13.9177,961251.51471659
2014-03-18,13.9177,13.9177,13.3033,13.3414,746539.81940153
2014-03-19,13.4711,13.749,13.1464,13.2477,597570.51070698
2014-03-20,13.2477,13.4799,13.201,13.4799,458897.26321715
2014-03-21,13.5822,14.3632,13.5822,13.944,739211.86270189
2014-03-24,14.177,14.2238,13.8523,14.0375,205171.50592108
2014-03-25,14.1312,14.1312,14.0375,14.1224,72956.501025727
2014-03-26,14.1488,14.6411,14.1224,14.2892,343410.92196459
2014-03-27,14.4559,14.5037,14.2238,14.3349,296889.42218914
2014-03-28,14.409,14.5485,14.3164,14.3164,428314.71026731
2014-03-31,14.4187,14.5485,14.2423,14.2423,318416.8975041
2014-04-01,14.4657,14.6138,14.3349,14.5037,301418.49941596
2014-04-02,14.5485,14.8654,14.5485,14.7806,122348.67271193
2014-04-03,14.8,14.9667,14.7357,14.8752,101621.1702767
2014-04-04,14.8752,14.8752,14.4841,14.6605,94745.50593599
2014-04-07,14.409,14.4744,14.0375,14.1585,142670.03506975
2014-04-08,14.177,14.3076,14.0941,14.1312,39202.773532121
2014-04-09,14.1312,14.409,14.1312,14.1868,44567.719857636
2014-04-10,14.3632,14.3632,13.8611,13.8611,105707.1856009
2014-04-11,13.824,14.0093,13.666,13.7313,122100.47599796
2014-04-14,13.666,13.666,13.3219,13.5725,125962.90915833
2014-04-15,13.4799,13.5266,13.3871,13.3871,51746.963650145
2014-04-16,13.396,13.5539,13.2107,13.238,200362.43818635
2014-04-17,13.2936,13.6573,13.2936,13.5909,56411.420902763
2014-04-22,13.8981,14.0375,13.8426,13.9917,73653.913279857
2014-04-23,14.0843,14.1868,13.8523,13.9624,41395.519707604
2014-04-24,13.944,14.0745,13.4886,13.666,89524.144486325
2014-04-25,13.666,13.8523,13.5081,13.8523,32424.541785736
2014-04-28,13.8523,14.0093,13.6846,13.8523,53329.474103265
2014-04-29,13.9917,13.9917,13.7587,13.944,21661.82973451
2014-04-30,13.944,13.944,13.7957,13.9351,29624.636706658
2014-05-02,13.9274,13.9274,13.666,13.666,47831.19896446
2014-05-05,13.7957,13.9177,13.3219,13.3774,192186.30511294
2014-05-06,13.3774,13.5725,13.3414,13.3414,13489.799086123
2014-05-07,13.3414,13.3579,12.5594,13.0147,301314.91318409
2014-05-08,13.0616,13.4428,13.0616,13.2663,87344.731192171
2014-05-09,13.2566,13.3579,12.9679,12.9679,339105.4269016
2014-05-12,12.9582,12.9582,12.7368,12.9221,52348.99452246
