Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-09-01,2.82391,2.83335,2.78613,2.83335,2135.632147941
2023-09-04,2.83335,3.87225,2.83335,3.7778,108596.41825554
2023-09-05,4.71281,4.71281,3.99503,4.27836,183104.25098656
2023-09-06,4.27836,4.70337,3.92892,3.92892,123384.90323833
2023-09-07,4.05169,4.05169,3.56058,3.74003,37486.326507538
2023-09-08,3.81559,4.53336,3.79669,4.15559,141338.18965405
2023-09-11,4.15559,4.15559,3.5228,3.58892,64386.609279273
2023-09-12,3.55113,3.71169,3.34336,3.49447,34059.997488828
2023-09-13,3.61725,3.61725,3.4378,3.54169,17871.757573177
2023-09-14,3.5611,3.5611,3.39614,3.49318,13946.853211613
2023-09-15,3.55139,3.55139,3.36703,3.36703,7046.0825691126
2023-09-18,3.49318,3.49318,3.21178,3.2797,15896.712538915
2023-09-19,3.38644,3.38644,3.20208,3.29911,9324.6972481104
2023-09-20,3.38644,3.38644,3.24089,3.34763,3665.7767585686
2023-09-21,3.38644,3.38644,3.20208,3.33792,1405.7125382872
2023-09-22,3.38644,3.44466,3.29911,3.44466,1964.2874618588
2023-09-25,3.46407,3.46407,3.31852,3.31852,475.0978593478
2023-09-26,3.39614,3.41555,3.20208,3.23119,4813.8440369058
2023-09-27,3.28941,3.33792,3.23119,3.33792,1382.0091743718
2023-09-28,3.16326,3.30881,3.16326,3.30881,237.033639154
2023-09-29,3.30881,3.30881,3.14386,3.25059,3755.4373090312
2023-10-02,3.24089,3.32822,3.00801,3.32822,7698.440367306
2023-10-03,3.29911,3.29911,3.09534,3.24089,1158.3730887352
2023-10-04,3.05653,3.28941,3.05653,3.10504,6849.2415905108
2023-10-05,3.10504,3.23119,3.06623,3.23119,497.7706422234
2023-10-06,3.29911,3.29911,3.20208,3.20208,875.99388383
2023-10-09,3.23119,3.28941,3.08564,3.2797,6971.880734247
2023-10-10,3.2797,3.2797,3.12445,3.2797,1673.6636086352
2023-10-11,3.15356,3.2797,3.15356,3.2797,1204.7492355262
2023-10-12,3.2797,3.2797,3.12445,3.25059,1470.6391437946
2023-10-13,3.25059,3.25059,3.22148,3.25059,711.100917462
2023-10-16,3.25059,3.25059,3.25059,3.25059,65.9571865472
2023-10-17,3.2797,3.2797,3.10504,3.20208,2815.5474007336
2023-10-18,3.2603,3.2603,3.08564,3.09534,3436.987767733
2023-10-19,3.18267,3.18267,3.07593,3.13415,2011.6941896896
2023-10-20,3.13415,3.13415,3.13415,3.13415,22.6727828756
2023-10-23,3.15356,3.36703,3.14386,3.2797,15803.960245333
2023-10-24,3.30881,3.49318,3.27,3.47377,7824.1712541616
2023-10-25,3.48347,3.48347,3.31852,3.48347,3272.094801365
2023-10-26,3.49318,3.49318,3.22148,3.24089,8405.4189606088
2023-10-27,3.28941,3.29911,3.28941,3.29911,2715.581039873
2023-10-30,3.38644,3.38644,3.25059,3.38644,2487.8226300772
2023-10-31,3.34763,3.34763,3.21178,3.29911,266.9204893082
2023-11-02,3.29911,3.38644,3.29911,3.38644,36.070336393
2023-11-03,3.38644,3.38644,3.31852,3.38644,373.0703364076
2023-11-06,3.22148,3.38644,3.15356,3.31852,7336.7064223362
2023-11-07,3.20208,3.28941,3.12445,3.15356,7049.174312232
2023-11-08,3.23119,3.23119,3.15356,3.15356,3314.3486239968
2023-11-09,3.25059,3.25059,3.25059,3.25059,2.0611620796
2023-11-10,3.27,3.33792,3.12445,3.33792,4128.5076454388
2023-11-13,3.33792,3.48347,3.20208,3.34763,19501.685016135
2023-11-14,3.43496,3.43496,3.43496,3.43496,12.3669724776
2023-11-15,3.34763,3.43496,3.32822,3.32822,3440.0795108524
2023-11-16,3.43496,3.43496,3.2603,3.43496,3940.9418961952
2023-11-17,3.43496,3.43496,3.34763,3.42525,1031.6116208398
2023-11-20,3.42525,3.42525,3.28941,3.39614,1334.602446541
2023-11-21,3.42525,3.42525,3.17297,3.39614,10792.244648786
2023-11-22,3.39614,3.39614,3.27,3.32822,834.770642238
2023-11-23,3.39614,3.39614,3.24089,3.39614,780.1498471286
2023-11-24,3.39614,3.39614,3.22148,3.27,5451.773700542
2023-11-27,3.28941,3.28941,3.22148,3.22148,113.363914378
2023-11-28,3.28941,3.28941,3.22148,3.22148,48.4373088706
2023-11-29,3.28941,3.28941,3.04682,3.04682,8986.666667056
2023-11-30,3.09534,3.09534,3.00801,3.07593,3127.813455793
2023-12-01,3.09534,3.09534,2.9692,3.04682,1951.9204893812
2023-12-04,2.9789,3.09534,2.9789,3.09534,2719.7033640322
2023-12-05,3.09534,3.09534,2.98861,3.01772,3737.9174313546
2023-12-06,3.00801,3.09534,2.99831,3.09534,2063.2232416796
2023-12-07,3.09534,3.14386,3.08564,3.08564,86.5688073432
2023-12-08,3.08564,3.24089,3.08564,3.24089,7586.1070339678
2023-12-11,3.29911,3.29911,3.2603,3.29911,2008.6024465702
2023-12-12,3.2603,3.2603,3.2603,3.2603,51.52905199
2023-12-13,3.12445,3.20208,3.08564,3.20208,1325.3272171828
2023-12-14,3.19237,3.2603,3.19237,3.2603,105.1192660596
2023-12-15,3.2603,3.2603,3.16326,3.16326,862.5963303126
2023-12-18,3.29911,3.55139,3.29911,3.55139,22826.33945053
2023-12-19,3.49318,3.59021,3.25059,3.39614,7257.3516822716
2023-12-20,3.25059,3.48347,3.25059,3.44466,3271.0642203252
2023-12-21,3.48347,3.55139,3.34763,3.34763,2941.2782875892
2023-12-22,3.39614,3.44466,3.30881,3.38644,1032.6422018796
2023-12-27,3.34763,3.36703,3.2603,3.36703,2127.1192661472
2023-12-28,3.38644,3.38644,3.25059,3.38644,2601.1865444552
2023-12-29,3.38644,3.53199,3.38644,3.53199,3581.269113305
2024-01-02,3.62902,3.73576,3.52228,3.5611,12978.107034201
2024-01-03,3.59021,3.59991,3.49318,3.5805,2564.0856270224
2024-01-04,3.59021,3.78427,3.5611,3.73576,20830.103976438
2024-01-05,3.73576,3.73576,3.5805,3.65813,4167.6697249512
2024-01-08,3.63872,3.63872,3.5611,3.5611,895.5749235862
2024-01-09,3.63872,3.63872,3.63872,3.63872,12.3669724776
2024-01-10,3.63872,3.63872,3.59021,3.59021,579.1865443676
2024-01-11,3.59021,3.62902,3.39614,3.61932,9407.1437312944
2024-01-12,3.59021,3.59021,3.44466,3.44466,7237.7706425154
2024-01-15,3.59021,3.68724,3.24089,3.67754,7543.853211336
2024-01-16,3.60961,3.60961,3.36703,3.51258,5703.2354742532
2024-01-17,3.51258,3.54169,3.51258,3.54169,29.8868501542
2024-01-18,3.51258,3.51258,3.51258,3.51258,12.3669724776
2024-01-19,3.49318,3.49318,3.36703,3.49318,430.7828746364
2024-01-22,3.49318,3.49318,3.29911,3.44466,12578.241590759
2024-01-23,3.44466,3.44466,3.24089,3.29911,7320.2171256994
2024-01-24,3.29911,3.29911,3.2603,3.29911,598.7675841238
2024-01-25,3.29911,3.29911,3.2797,3.2797,784.2721712878
2024-01-26,3.29911,3.29911,3.21178,3.29911,1107.874617785
2024-01-29,3.29911,3.29911,3.29911,3.29911,12.3669724776
2024-01-30,3.29911,3.29911,3.29911,3.29911,12.3669724776
2024-01-31,3.29911,3.29911,3.2603,3.29911,318.4495412982
2024-02-01,3.29911,3.29911,3.15356,3.2603,3936.819572036
2024-02-02,3.29911,3.5708,3.18267,3.51258,9512.262997354
2024-02-05,3.53199,3.53199,3.29911,3.39614,6798.7431195606
2024-02-06,3.49318,3.49318,3.45436,3.45436,431.8134556762
2024-02-07,3.44466,3.44466,3.36703,3.36703,1403.6513762076
2024-02-08,3.44466,3.48347,3.35733,3.48347,2177.6177370974
2024-02-09,3.48347,3.48347,3.34763,3.45436,5932.0244650888
2024-02-12,3.45436,3.45436,3.37674,3.39614,2644.4709481268
2024-02-13,3.48347,3.48347,3.34763,3.44466,2543.4740062264
2024-02-14,3.44466,3.48347,3.34763,3.48347,2505.3425077538
2024-02-15,3.44466,3.44466,3.44466,3.44466,12.3669724776
2024-02-16,3.38644,3.38644,3.38644,3.38644,16.4892966368
2024-02-19,3.43496,3.43496,3.29911,3.43496,3763.6819573496
2024-02-20,3.43496,3.43496,3.43496,3.43496,12.3669724776
2024-02-21,3.43496,3.43496,3.29911,3.43496,1052.2232416358
2024-02-22,3.43496,3.43496,3.42525,3.42525,325.6636085768
2024-02-23,3.43496,3.44466,3.39614,3.44466,6105.1620797752
2024-02-26,3.45436,3.45436,3.45436,3.45436,12.3669724776
2024-02-27,3.45436,3.45436,3.45436,3.45436,2.0611620796
2024-02-28,3.45436,3.45436,3.36703,3.45436,4290.3088686874
2024-02-29,3.45436,3.45436,3.34763,3.34763,1824.128440446
2024-03-01,3.45436,3.45436,3.34763,3.38644,287.5321101042
2024-03-04,3.38644,3.38644,3.36703,3.38644,1053.2538226756
2024-03-05,3.38644,3.38644,3.29911,3.38644,3301.9816515192
2024-03-06,3.38644,3.39614,3.21178,3.39614,11479.642202332
2024-03-07,3.48347,3.74546,3.48347,3.68724,24167.12538331
2024-03-08,3.73576,3.96864,3.59991,3.96864,26199.431193796
2024-03-11,3.92012,3.92012,3.82309,3.90071,24035.211010216
2024-03-12,3.8619,3.88131,3.73576,3.8716,1769.5076453366
2024-03-13,3.84249,3.84249,3.73576,3.73576,1105.8134557054
2024-03-14,3.84249,3.84249,3.73576,3.84249,944.0122324568
2024-03-15,3.83279,3.84249,3.63872,3.64843,9792.5810401796
2024-03-18,3.84249,3.84249,3.73576,3.73576,98.9357798208
2024-03-19,3.73576,3.84249,3.62902,3.84249,1772.599388456
2024-03-20,3.84249,3.84249,3.52228,3.72605,5557.9235476414
2024-03-21,3.82309,3.82309,3.61932,3.72605,5481.6605506962
2024-03-22,3.60961,3.80368,3.59021,3.80368,1749.9266055804
2024-03-25,3.78427,3.78427,3.54169,3.74546,2168.3425077392
2024-03-26,3.74546,3.74546,3.51258,3.5708,1247.003058158
2024-03-27,3.5708,3.63872,3.24089,3.38644,17981.57798243
2024-03-28,3.38644,3.40585,3.36703,3.40585,1319.143730944
2024-04-02,3.39614,3.41555,3.2797,3.39614,5381.6941898356
2024-04-03,3.39614,3.39614,3.2603,3.39614,3279.3088686436
2024-04-04,3.39614,3.39614,3.32822,3.39614,345.244648333
2024-04-05,3.39614,3.39614,3.2797,3.29911,2605.3088686144
2024-04-08,3.29911,3.35733,3.2603,3.29911,4261.452599573
2024-04-09,3.29911,3.5805,3.2603,3.5805,1602.553516889
