<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
11B,5,20241118,090000,262,262,258,259,877,0
11B,5,20241118,090500,258.5,260,258,258.5,257,0
11B,5,20241118,091000,259.5,260,258.5,260,338,0
11B,5,20241118,091500,260,260,260,260,21,0
11B,5,20241118,092000,259,259,259,259,288,0
11B,5,20241118,092500,259,259.5,259,259.5,78,0
11B,5,20241118,093000,259,259,257,258,394,0
11B,5,20241118,093500,258,258,254,254.5,2505,0
11B,5,20241118,094000,254.5,255,253,254,667,0
11B,5,20241118,094500,254,254.5,253,254,475,0
11B,5,20241118,095000,254.5,255,254,254.5,220,0
11B,5,20241118,095500,254.5,254.5,250,251.5,2510,0
11B,5,20241118,100000,250,250.5,248,248,1477,0
11B,5,20241118,100500,248.5,249.5,247.5,249,809,0
11B,5,20241118,101000,249,250,248.5,249.5,566,0
11B,5,20241118,101500,249,251.5,248.5,250.5,919,0
11B,5,20241118,102000,250.5,252,250.5,251,209,0
11B,5,20241118,102500,250.5,252,250.5,252,297,0
11B,5,20241118,103000,252,252,251,252,174,0
11B,5,20241118,103500,251,252.5,251,252,97,0
11B,5,20241118,104000,251.5,252.5,251.5,252,279,0
11B,5,20241118,104500,252.5,253,251.5,253,735,0
11B,5,20241118,105000,253.5,253.5,251.5,251.5,349,0
11B,5,20241118,105500,251.5,252,251,251.5,52,0
11B,5,20241118,110000,252,252,251,252,102,0
11B,5,20241118,110500,252,252,251.5,251.5,160,0
11B,5,20241118,111000,251,251.5,250.5,251,292,0
11B,5,20241118,111500,251.5,252,251.5,252,60,0
11B,5,20241118,112000,251,251,250.5,250.5,403,0
11B,5,20241118,112500,251,252,250,251.5,194,0
11B,5,20241118,113000,252,252,251,251,117,0
11B,5,20241118,113500,251,252,251,251,208,0
11B,5,20241118,114000,251,252,251,252,45,0
11B,5,20241118,114500,251,252,250.5,251,269,0
11B,5,20241118,115000,251,252,251,252,224,0
11B,5,20241118,115500,252.5,253,252,253,171,0
11B,5,20241118,120000,253.5,254.5,253,254,280,0
11B,5,20241118,120500,254,254,252.5,252.5,651,0
11B,5,20241118,121000,253,253.5,253,253.5,25,0
11B,5,20241118,121500,253.5,253.5,251.5,251.5,397,0
11B,5,20241118,122000,251.5,252.5,251.5,252.5,298,0
11B,5,20241118,122500,252.5,252.5,251,252,124,0
11B,5,20241118,123000,251,252,251,251,210,0
11B,5,20241118,123500,251,252,251,251,364,0
11B,5,20241118,124000,252,252,251,251,49,0
