<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBK,5,20241125,090000,567.8,567.8,565,565.4,242,0
MBK,5,20241125,090500,564.6,564.6,562.8,563.6,696,0
MBK,5,20241125,091000,562.8,562.8,561.2,562.4,59,0
MBK,5,20241125,091500,562.4,562.4,561.4,562.2,113,0
MBK,5,20241125,092000,561.8,561.8,561.2,561.2,19,0
MBK,5,20241125,092500,561.2,561.4,561,561.4,116,0
MBK,5,20241125,093000,561.4,563.6,561.4,563.6,97,0
MBK,5,20241125,093500,563.6,563.6,561.6,561.6,32,0
MBK,5,20241125,094000,562.8,563,561.4,561.4,90,0
MBK,5,20241125,094500,561.2,561.4,560.6,560.6,45,0
MBK,5,20241125,095000,560.8,561.6,560.4,560.4,21,0
MBK,5,20241125,100000,559,560.8,559,560.4,151,0
MBK,5,20241125,100500,561,562.4,561,562.2,80,0
MBK,5,20241125,101000,562.6,564.2,562.6,564.2,102,0
MBK,5,20241125,101500,564,564.4,564,564.4,23,0
MBK,5,20241125,102000,562.8,562.8,562,562,24,0
MBK,5,20241125,102500,562,562,559.2,562,266,0
MBK,5,20241125,103000,562.2,563,562.2,562.2,56,0
MBK,5,20241125,103500,561.6,561.8,561.4,561.6,63,0
MBK,5,20241125,104000,562,562.8,562,562,97,0
MBK,5,20241125,104500,561.2,561.8,561.2,561.8,40,0
MBK,5,20241125,105000,561.8,562.2,561.8,562.2,11,0
MBK,5,20241125,105500,562.2,562.2,560.8,560.8,71,0
MBK,5,20241125,110000,561.2,561.2,560.4,560.4,15,0
MBK,5,20241125,110500,560.4,560.4,560.2,560.4,38,0
MBK,5,20241125,111000,560.6,560.6,559.6,559.6,46,0
MBK,5,20241125,111500,559.8,560.2,559.8,560.2,58,0
MBK,5,20241125,112000,560.4,560.8,560.4,560.8,31,0
MBK,5,20241125,112500,560.2,560.4,560.2,560.4,101,0
MBK,5,20241125,113000,560.4,560.4,560.2,560.2,68,0
MBK,5,20241125,113500,560.2,560.4,559.8,559.8,105,0
MBK,5,20241125,114000,559.2,560.2,559.2,560.2,183,0
MBK,5,20241125,114500,560,560.4,559.8,560.4,22,0
MBK,5,20241125,115000,560,560.2,560,560.2,11,0
MBK,5,20241125,115500,559.4,560.2,559.4,560.2,37,0
MBK,5,20241125,120000,560.4,560.6,560.4,560.6,22,0
MBK,5,20241125,120500,560.8,561.8,560.8,561.2,111,0
MBK,5,20241125,121000,560.2,560.2,559.6,560.2,10,0
MBK,5,20241125,121500,559.6,559.6,559.6,559.6,26,0
MBK,5,20241125,122000,559.8,559.8,559.8,559.8,15,0
MBK,5,20241125,122500,559.8,560.6,559.8,560.6,111,0
MBK,5,20241125,123000,560.4,561.6,560.4,561.6,87,0
MBK,5,20241125,123500,561,561,560.4,560.4,35,0
MBK,5,20241125,124000,561,561,559.8,559.8,7,0
MBK,5,20241125,124500,559.8,560.6,559.8,560.6,35,0
MBK,5,20241125,125000,560.6,560.6,559.8,559.8,28,0
MBK,5,20241125,125500,560.6,560.6,560.6,560.6,16,0
MBK,5,20241125,130000,560.6,560.6,559.8,559.8,75,0
MBK,5,20241125,130500,560.4,560.4,559,559,33,0
MBK,5,20241125,131000,559,559,558,558,46,0
MBK,5,20241125,131500,556.2,557.4,556.2,557.4,18,0
MBK,5,20241125,132000,557,557.2,556.4,557.2,176,0
MBK,5,20241125,132500,557.2,557.2,556.8,556.8,53,0
MBK,5,20241125,133000,556.4,557,556.4,556.8,73,0
MBK,5,20241125,133500,556.8,557,556.8,557,46,0
MBK,5,20241125,134000,557.2,557.2,557.2,557.2,11,0
MBK,5,20241125,134500,557.4,557.4,557.2,557.2,56,0
MBK,5,20241125,135000,557,557.6,557,557.6,81,0
MBK,5,20241125,135500,557.2,557.6,557.2,557.6,20,0
MBK,5,20241125,140000,557.6,558.6,557.6,558.2,163,0
MBK,5,20241125,140500,558.6,558.6,558.6,558.6,16,0
MBK,5,20241125,141000,558.6,558.8,558.2,558.8,51,0
MBK,5,20241125,141500,558.8,559,558.8,559,122,0
MBK,5,20241125,142000,558.8,559.2,558.6,558.6,82,0
MBK,5,20241125,142500,558.6,559,558.2,558.2,150,0
MBK,5,20241125,143000,558.8,558.8,557.6,557.8,39,0
MBK,5,20241125,143500,558.4,558.4,557.8,558.2,78,0
MBK,5,20241125,144000,558.4,559.8,558.4,559.8,169,0
MBK,5,20241125,144500,559.8,560.4,559.6,560,90,0
MBK,5,20241125,145000,560,560.4,559.8,559.8,93,0
MBK,5,20241125,145500,560,560,560,560,10,0
MBK,5,20241125,150000,560.2,560.4,559.6,560.4,48,0
MBK,5,20241125,150500,559.6,560,559,559,59,0
MBK,5,20241125,151000,560,560,560,560,12,0
MBK,5,20241125,151500,560,560,559.2,559.2,136,0
MBK,5,20241125,152000,560,560,556.4,556.4,566,0
MBK,5,20241125,152500,556.4,556.4,553.4,555.2,847,0
MBK,5,20241125,153000,555.8,556,554.6,555.6,244,0
MBK,5,20241125,153500,555.6,555.6,554.8,555.4,225,0
MBK,5,20241125,154000,555,556.6,555,556,221,0
MBK,5,20241125,154500,556,558,556,557.6,427,0
MBK,5,20241125,155000,557.6,557.6,556.8,556.8,183,0
MBK,5,20241125,155500,557,557.8,557,557,178,0
MBK,5,20241125,160000,556.6,556.6,555.4,555.4,199,0
MBK,5,20241125,160500,556.2,556.4,555,555.6,227,0
MBK,5,20241125,161000,555.6,555.6,552,552.6,276,0
MBK,5,20241125,161500,552,554,552,553,426,0
MBK,5,20241125,162000,552.6,554.4,552.6,554.4,279,0
MBK,5,20241125,162500,554.4,556,553.8,555.2,826,0
MBK,5,20241125,163000,555.4,555.6,553.6,553.6,201,0
MBK,5,20241125,163500,553.8,553.8,552.6,553.8,300,0
MBK,5,20241125,164000,554,554.6,552.8,554.6,372,0
MBK,5,20241125,164500,554.2,554.4,549.4,549.4,53719,0
MBK,5,20241126,090000,545.2,546.6,545,545.4,74,0
MBK,5,20241126,090500,546.4,546.8,546.4,546.8,3,0
MBK,5,20241126,091000,545.8,545.8,541.6,541.6,64,0
MBK,5,20241126,092000,543,543,543,543,2,0
MBK,5,20241126,092500,543.6,543.8,543.6,543.6,26,0
MBK,5,20241126,093000,544.4,545,541.8,542.6,33,0
MBK,5,20241126,093500,542,542,542,542,5,0
MBK,5,20241126,094000,542.8,543.2,541.8,542.6,63,0
MBK,5,20241126,094500,543,544.4,543,544.2,61,0
MBK,5,20241126,095000,543.4,543.4,543.4,543.4,5,0
MBK,5,20241126,095500,544.4,545,544.2,544.4,9,0
MBK,5,20241126,100000,544.8,545.4,544,545,81,0
MBK,5,20241126,100500,547.6,548.4,547.6,547.6,25,0
MBK,5,20241126,101000,549.4,549.6,549.4,549.6,3,0
MBK,5,20241126,101500,550.2,553.8,550.2,552.8,295,0
MBK,5,20241126,102000,552.8,552.8,552.2,552.2,40,0
MBK,5,20241126,102500,552.2,553,551.8,552.2,131,0
MBK,5,20241126,103000,553,554,553,553,85,0
MBK,5,20241126,103500,553,553.6,553,553.6,17,0
MBK,5,20241126,104000,553.2,553.2,553.2,553.2,2,0
MBK,5,20241126,104500,553,553,551.4,551.4,72,0
MBK,5,20241126,105000,551.2,551.4,551.2,551.4,13,0
MBK,5,20241126,105500,550.8,550.8,549.2,549.8,43,0
MBK,5,20241126,110000,548.6,550.6,548,548,32,0
MBK,5,20241126,110500,548,548,545.4,546.2,115,0
MBK,5,20241126,111000,546.2,547,546.2,547,41,0
MBK,5,20241126,112500,545.4,545.8,545,545.8,17,0
MBK,5,20241126,114000,545,545,543,543,30,0
MBK,5,20241126,114500,544,544.2,543.4,544.2,18,0
MBK,5,20241126,115000,543.4,545,543.4,544.6,67,0
MBK,5,20241126,115500,544,544.4,543.4,544.4,34,0
MBK,5,20241126,120000,543.6,543.6,543.6,543.6,3,0
MBK,5,20241126,120500,544,544.4,544,544.4,3,0
MBK,5,20241126,121500,545.2,545.2,545.2,545.2,9,0
MBK,5,20241126,122500,545,545,545,545,1,0
MBK,5,20241126,123500,544.2,544.2,544,544,35,0
MBK,5,20241126,124000,544.6,544.8,544.6,544.8,3,0
MBK,5,20241126,124500,545.4,545.8,545.4,545.8,20,0
MBK,5,20241126,125000,545.4,547.8,545.4,547,51,0
