<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPE,5,20241118,090000,3.519,3.543,3.519,3.543,15137,0
TPE,5,20241118,090500,3.539,3.547,3.535,3.547,9383,0
TPE,5,20241118,091000,3.544,3.544,3.543,3.543,2938,0
TPE,5,20241118,091500,3.559,3.559,3.543,3.543,1292,0
TPE,5,20241118,092500,3.543,3.543,3.54,3.54,236,0
TPE,5,20241118,093500,3.54,3.54,3.53,3.534,3657,0
TPE,5,20241118,094000,3.535,3.535,3.522,3.522,1696,0
TPE,5,20241118,094500,3.522,3.525,3.522,3.525,4466,0
TPE,5,20241118,095000,3.521,3.522,3.511,3.511,8524,0
TPE,5,20241118,095500,3.513,3.513,3.513,3.513,1350,0
TPE,5,20241118,100000,3.513,3.513,3.5,3.5,7072,0
TPE,5,20241118,100500,3.5,3.505,3.5,3.505,17338,0
TPE,5,20241118,101000,3.513,3.513,3.513,3.513,3016,0
TPE,5,20241118,101500,3.508,3.512,3.502,3.502,11984,0
TPE,5,20241118,102000,3.502,3.513,3.502,3.512,11789,0
TPE,5,20241118,102500,3.512,3.518,3.508,3.518,4444,0
TPE,5,20241118,103000,3.517,3.522,3.514,3.522,3287,0
TPE,5,20241118,103500,3.528,3.528,3.528,3.528,1429,0
TPE,5,20241118,104000,3.518,3.532,3.518,3.532,15034,0
TPE,5,20241118,104500,3.534,3.545,3.53,3.545,16419,0
TPE,5,20241118,105000,3.538,3.547,3.538,3.547,2030,0
TPE,5,20241118,105500,3.539,3.539,3.538,3.538,3050,0
TPE,5,20241118,110000,3.536,3.541,3.534,3.541,5228,0
TPE,5,20241118,110500,3.541,3.547,3.541,3.547,2823,0
TPE,5,20241118,111000,3.537,3.545,3.537,3.545,3376,0
TPE,5,20241118,111500,3.537,3.537,3.535,3.535,8976,0
TPE,5,20241118,112000,3.531,3.531,3.525,3.525,4351,0
TPE,5,20241118,112500,3.53,3.534,3.53,3.53,9319,0
TPE,5,20241118,113000,3.531,3.531,3.531,3.531,1000,0
TPE,5,20241118,114000,3.532,3.532,3.532,3.532,1202,0
TPE,5,20241118,114500,3.533,3.533,3.53,3.53,7114,0
TPE,5,20241118,115000,3.536,3.541,3.536,3.541,10905,0
TPE,5,20241118,115500,3.537,3.537,3.513,3.513,60247,0
TPE,5,20241118,120000,3.511,3.511,3.506,3.506,6605,0
TPE,5,20241118,120500,3.515,3.515,3.512,3.512,4807,0
TPE,5,20241118,121000,3.511,3.511,3.508,3.508,4952,0
TPE,5,20241118,121500,3.507,3.507,3.507,3.507,1210,0
TPE,5,20241118,122000,3.508,3.508,3.507,3.507,3364,0
TPE,5,20241118,122500,3.507,3.514,3.49,3.506,35641,0
TPE,5,20241118,123500,3.502,3.502,3.502,3.502,1258,0
TPE,5,20241118,124000,3.508,3.509,3.505,3.505,20106,0
TPE,5,20241118,124500,3.504,3.51,3.504,3.51,10209,0
TPE,5,20241118,125000,3.511,3.519,3.511,3.519,3574,0
TPE,5,20241118,125500,3.512,3.512,3.512,3.512,1500,0
TPE,5,20241118,130000,3.512,3.521,3.512,3.518,13527,0
TPE,5,20241118,131000,3.515,3.515,3.515,3.515,4029,0
TPE,5,20241118,131500,3.512,3.519,3.512,3.519,8926,0
TPE,5,20241118,132000,3.522,3.524,3.522,3.524,7355,0
TPE,5,20241118,132500,3.524,3.53,3.524,3.53,16290,0
TPE,5,20241118,133500,3.528,3.528,3.528,3.528,1828,0
TPE,5,20241118,134000,3.528,3.528,3.528,3.528,1000,0
TPE,5,20241118,134500,3.531,3.547,3.531,3.547,37397,0
TPE,5,20241118,135000,3.541,3.547,3.541,3.547,1590,0
TPE,5,20241118,135500,3.547,3.548,3.541,3.541,25683,0
TPE,5,20241118,140000,3.541,3.554,3.541,3.548,21805,0
TPE,5,20241118,140500,3.547,3.547,3.545,3.546,2144,0
TPE,5,20241118,141000,3.546,3.546,3.546,3.546,1256,0
TPE,5,20241118,141500,3.546,3.546,3.543,3.543,6930,0
TPE,5,20241118,142000,3.54,3.54,3.54,3.54,2384,0
TPE,5,20241118,142500,3.533,3.545,3.533,3.545,10231,0
TPE,5,20241118,143000,3.538,3.544,3.538,3.544,3904,0
TPE,5,20241118,143500,3.545,3.548,3.538,3.538,23015,0
TPE,5,20241118,144000,3.538,3.541,3.535,3.541,6885,0
TPE,5,20241118,144500,3.537,3.537,3.536,3.536,2592,0
TPE,5,20241118,145000,3.533,3.533,3.533,3.533,1384,0
TPE,5,20241118,145500,3.533,3.533,3.531,3.531,3365,0
TPE,5,20241118,150000,3.531,3.538,3.531,3.538,5723,0
TPE,5,20241118,150500,3.533,3.533,3.524,3.524,11358,0
TPE,5,20241118,151000,3.527,3.527,3.516,3.516,3528,0
TPE,5,20241118,151500,3.516,3.531,3.516,3.531,17690,0
TPE,5,20241118,152000,3.526,3.537,3.526,3.537,5229,0
TPE,5,20241118,152500,3.533,3.533,3.533,3.533,628,0
TPE,5,20241118,153000,3.533,3.534,3.531,3.534,11849,0
TPE,5,20241118,153500,3.532,3.543,3.532,3.543,8054,0
TPE,5,20241118,154000,3.542,3.542,3.542,3.542,3404,0
TPE,5,20241118,154500,3.542,3.542,3.541,3.541,5203,0
TPE,5,20241118,155000,3.541,3.541,3.53,3.53,17745,0
TPE,5,20241118,155500,3.53,3.539,3.53,3.535,14750,0
TPE,5,20241118,160000,3.535,3.535,3.518,3.535,19039,0
TPE,5,20241118,160500,3.522,3.558,3.522,3.554,35875,0
TPE,5,20241118,161000,3.551,3.569,3.55,3.569,26151,0
TPE,5,20241118,161500,3.559,3.56,3.559,3.56,2835,0
TPE,5,20241118,162000,3.564,3.564,3.556,3.562,26505,0
TPE,5,20241118,162500,3.56,3.56,3.552,3.558,38641,0
TPE,5,20241118,163000,3.559,3.56,3.549,3.55,17458,0
TPE,5,20241118,163500,3.556,3.559,3.552,3.552,27287,0
TPE,5,20241118,164000,3.55,3.559,3.544,3.559,29351,0
TPE,5,20241118,164500,3.553,3.578,3.553,3.578,195636,0
TPE,5,20241119,090000,3.578,3.605,3.576,3.6,25696,0
TPE,5,20241119,090500,3.61,3.625,3.602,3.602,22937,0
TPE,5,20241119,091000,3.616,3.616,3.603,3.604,6243,0
TPE,5,20241119,091500,3.604,3.615,3.598,3.602,26040,0
TPE,5,20241119,092000,3.6,3.6,3.6,3.6,1000,0
TPE,5,20241119,092500,3.601,3.601,3.587,3.587,2442,0
TPE,5,20241119,093000,3.585,3.591,3.58,3.585,37766,0
TPE,5,20241119,093500,3.578,3.578,3.577,3.577,3469,0
TPE,5,20241119,094000,3.578,3.58,3.565,3.565,9478,0
TPE,5,20241119,094500,3.578,3.58,3.563,3.563,8670,0
TPE,5,20241119,095000,3.575,3.575,3.562,3.562,2801,0
TPE,5,20241119,095500,3.563,3.563,3.562,3.563,1001,0
TPE,5,20241119,100500,3.559,3.559,3.55,3.55,3335,0
TPE,5,20241119,101000,3.545,3.545,3.535,3.535,6818,0
TPE,5,20241119,102000,3.534,3.534,3.525,3.525,280,0
TPE,5,20241119,102500,3.52,3.52,3.502,3.502,16338,0
TPE,5,20241119,103000,3.501,3.501,3.495,3.495,9663,0
TPE,5,20241119,103500,3.495,3.495,3.494,3.494,1521,0
TPE,5,20241119,104000,3.495,3.495,3.48,3.481,14937,0
TPE,5,20241119,104500,3.487,3.493,3.487,3.488,43808,0
